,tick,seconds,clockTime,attackerSteamID,attackerName,attackerTeam,attackerSide,attackerX,attackerY,attackerZ,attackerViewX,attackerViewY,victimSteamID,victimName,victimTeam,victimSide,victimX,victimY,victimZ,victimViewX,victimViewY,assisterSteamID,assisterName,assisterTeam,assisterSide,isSuicide,isTeamkill,isWallbang,penetratedObjects,isFirstKill,isHeadshot,victimBlinded,attackerBlinded,flashThrowerSteamID,flashThrowerName,flashThrowerTeam,flashThrowerSide,noScope,thruSmoke,distance,isTrade,playerTradedName,playerTradedTeam,playerTradedSteamID,weapon,weaponClass,roundNum,matchID,mapName
42,127461,51.2578125,01:04,76561198034202272,s1mple,Natus Vincere,T,1643.022216796875,1837.3143310546875,1.03125,143.1793212890625,0.54931640625,76561198114929868,valde,OGEsports,CT,940.1386108398438,2379.993408203125,2.318033218383789,323.4814453125,0.5712890625,76561198116523280,flamie,Natus Vincere,T,False,False,False,0,False,False,False,False,,,,,False,False,888.0020270860254,False,,,,AWP,Rifle,7,OG-NaVi-BLAST2020,de_dust2
43,127562,52.046875,01:03,76561198016432560,mantuu,OGEsports,CT,1109.454345703125,2768.607177734375,114.12254333496094,304.4805908203125,9.0252685546875,76561198121220486,Perfecto,Natus Vincere,T,1735.320556640625,1841.8580322265625,1.04638671875,126.463623046875,355.10009765625,76561198116523280,flamie,Natus Vincere,T,False,False,False,0,False,False,False,False,,,,,False,False,1123.9923086426427,False,,,,M4A4,Rifle,7,OG-NaVi-BLAST2020,de_dust2
44,127659,52.8046875,01:03,76561198116523280,flamie,Natus Vincere,T,1367.5963134765625,2477.720703125,45.28245544433594,122.750244140625,350.0079345703125,76561198016432560,mantuu,OGEsports,CT,1160.547119140625,2800.240478515625,127.03125,301.981201171875,15.40283203125,76561198044045104,electronic,Natus Vincere,T,False,False,False,0,False,True,False,False,,,,,False,False,391.8816655630679,True,Perfecto,Natus Vincere,7.656119812122048e+16,AK-47,Rifle,7,OG-NaVi-BLAST2020,de_dust2
45,128183,56.8984375,00:59,76561198034202272,s1mple,Natus Vincere,T,1787.9031982421875,1950.9154052734375,1.7090797424316406,172.3040771484375,3.4002685546875,76561197960710573,NBK-,OGEsports,CT,-716.2395629882812,2291.95166015625,-112.30511474609375,352.3040771484375,357.1051025390625,,,,,False,False,False,0,False,False,False,False,,,,,False,False,2529.8292298715182,False,,,,AWP,Rifle,7,OG-NaVi-BLAST2020,de_dust2
46,130389,6.609375,00:34,76561198037812448,ISSAA,OGEsports,CT,-482.95086669921875,1454.0799560546875,-110.99702453613281,278.2177734375,354.583740234375,76561198044045107,electronic,Natus Vincere,T,-325.2119140625,308.1816101074219,1.593912124633789,97.921142578125,6.48193359375,,,,,False,False,False,0,False,True,False,False,,,,,False,False,1162.1709493193146,False,,,,AK-47,Rifle,7,OG-NaVi-BLAST2020,de_dust2
47,147660,75.5390625,00:40,76561198013243328,Aleksib,OGEsports,CT,-1666.5416259765625,2220.43798828125,-3.0230464935302734,357.8961181640625,3.4881591796875,76561198146207066,Boombl4,Natus Vincere,T,179.58131408691406,2156.62890625,-127.86104583740234,184.493408203125,356.81396484375,,,,,False,False,False,0,True,True,False,False,,,,,False,False,1851.4389092968922,False,,,,Desert Eagle,Pistols,8,OG-NaVi-BLAST2020,de_dust2
48,148889,85.140625,00:30,76561197960710576,NBK-,OGEsports,CT,554.7990112304688,2297.6923828125,127.03125,255.1849365234375,14.710693359375,76561198044045107,electronic,Natus Vincere,T,400.6781005859375,1692.879150390625,62.97417068481445,75.0201416015625,359.47265625,,,,,False,False,False,0,False,False,False,False,,,,,False,False,627.4198041350692,False,,,,M4A4,Rifle,8,OG-NaVi-BLAST2020,de_dust2
49,157172,9.8515625,01:46,76561197960710576,NBK-,OGEsports,CT,1559.6552734375,1154.7327880859375,1.03125,195.49072265625,1.95556640625,76561198146207066,Boombl4,Natus Vincere,T,696.8191528320312,913.4493408203125,-0.14224815368652344,355.177001953125,8.9593505859375,,,,,False,False,False,0,True,False,False,False,,,,,False,False,895.9381954374952,False,,,,M4A4,Rifle,9,OG-NaVi-BLAST2020,de_dust2
50,157543,12.75,01:43,76561197960710576,NBK-,OGEsports,CT,1588.2685546875,1163.4957275390625,1.3508834838867188,199.8248291015625,0.3350830078125,76561198116523276,flamie,Natus Vincere,T,645.5520629882812,814.3456420898438,0.6241984367370605,20.3302001953125,0.06591796875,,,,,False,False,False,0,False,True,False,False,,,,,False,False,1005.2963214704596,False,,,,M4A4,Rifle,9,OG-NaVi-BLAST2020,de_dust2
51,157864,15.2578125,01:40,76561198034202272,s1mple,Natus Vincere,T,542.466552734375,628.296142578125,3.3101882934570312,39.407958984375,0.4669189453125,76561198114929868,valde,OGEsports,CT,1381.28466796875,1299.258056640625,-10.495075225830078,217.4908447265625,353.9300537109375,,,,,False,False,False,0,False,False,True,True,76561198114929872,valde,OGEsports,CT,False,False,1074.2422007483228,False,,,,AWP,Rifle,9,OG-NaVi-BLAST2020,de_dust2
